deces_annee,sexe,deces_dep,n
2018,1,13,9544
2018,1,14,3881
2018,1,15,981
2018,1,16,2001
2018,1,17,3829
2018,1,18,1726
2018,1,19,1603
2018,1,21,2806
2018,1,22,3425
2018,1,23,832
2018,1,24,2417
2018,1,25,2436
2018,1,26,2505
2018,1,27,2199
2018,1,28,1943
2018,1,29,5319
2018,1,2A,754
2018,1,2B,830
2018,1,30,3623
2018,1,31,5411
2018,1,32,1071
2018,1,33,7319
2018,1,34,5772
2018,1,35,4727
2018,1,36,1460
2018,1,37,3034
2018,1,38,4453
2018,1,39,1161
2018,1,40,2003
2018,1,41,1727
2018,1,42,3836
2018,1,43,1067
2018,1,44,6084
2018,1,45,3106
2018,1,46,996
2018,1,47,1945
2018,1,48,468
2018,1,49,3740
2018,1,50,2704
2018,1,51,2948
2018,1,52,977
2018,1,53,1387
2018,1,54,3542
2018,1,55,937
2018,1,56,4315
2018,1,57,5037
2018,1,58,1433
2018,1,59,11797
2018,1,60,3024
2018,1,61,1563
2018,1,62,7144
2018,1,63,3349
2018,1,64,3759
2018,1,65,1419
2018,1,66,3015
2018,1,67,4846
2018,1,68,3506
2018,1,69,7033
2018,1,70,1021
2018,1,71,3047
2018,1,72,2909
2018,1,73,1966
2018,1,74,2878
2018,1,75,8959
2018,1,76,6508
2018,1,77,4050
2018,1,78,4114
2018,1,79,1908
2018,1,80,3195
2018,1,81,2088
2018,1,82,1258
2018,1,83,5633
2018,1,84,2939
2018,1,85,3107
2018,1,86,2585
2018,1,87,2400
2018,1,88,2006
2018,1,89,2010
2018,1,90,1073
2018,1,91,3756
2018,1,92,4762
2018,1,93,3964
2018,1,94,4760
2018,1,95,3577
2018,1,971,1755
2018,1,972,1709
2018,1,973,577
2018,1,974,2735
2018,1,976,385
2018,1,NA,5553
2018,2,,370
2018,2,01,2304
2018,2,02,2795
2018,2,03,2176
2018,2,04,918
2018,2,05,713
2018,2,06,6345
2018,2,07,1855
2018,2,08,1349
2018,2,09,857
2018,2,10,1537
2018,2,11,2184
2018,2,12,1684
2018,2,13,9643
2018,2,14,3747
2018,2,15,1040
2018,2,16,2148
2018,2,17,3796
2018,2,18,1749
2018,2,19,1671
2018,2,21,2734
2018,2,22,3581
2018,2,23,886
2018,2,24,2607
2018,2,25,2304
2018,2,26,2340
2018,2,27,2291
2018,2,28,1920
2018,2,29,5566
2018,2,2A,738
2018,2,2B,777
2018,2,30,3567
2018,2,31,5395
2018,2,32,1124
2018,2,33,7448
2018,2,34,5644
2018,2,35,4658
2018,2,36,1491
2018,2,37,2954
2018,2,38,4607
2018,2,39,1273
2018,2,40,2066
2018,2,41,1837
2018,2,42,4085
2018,2,43,1207
2018,2,44,6046
2018,2,45,3128
2018,2,46,1041
2018,2,47,1931
2018,2,48,427
2018,2,49,3758
2018,2,50,2659
2018,2,51,2823
2018,2,52,979
2018,2,53,1354
2018,2,54,3536
2018,2,55,966
2018,2,56,4142
2018,2,57,5217
2018,2,58,1510
2018,2,59,11816
2018,2,60,3002
2018,2,61,1580
2018,2,62,7352
2018,2,63,3332
2018,2,64,3967
2018,2,65,1578
2018,2,66,2940
2018,2,67,4975
2018,2,68,3598
2018,2,69,7083
2018,2,70,1041
2018,2,71,3181
2018,2,72,2836
2018,2,73,1927
2018,2,74,2921
2018,2,75,8484
2018,2,76,6480
2018,2,77,4293
2018,2,78,4262
2018,2,79,1901
2018,2,80,3025
2018,2,81,2197
2018,2,82,1268
2018,2,83,5689
2018,2,84,2937
