Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"87123 Rempnat, France",87123,1,COM,Rempnat,116.5646259,1.891943931,0.52855689
"40011 Arsague, France",40011,2.166666667,COM,Arsague,272.9819427,4.098970628,0.528587995
"83105 Riboux, France",83105,0.166666667,COM,Riboux,33.88235294,0.315300254,0.528596678
"81268 Saint-Salvi-de-Carcavès, France",81268,0.666666667,COM,Saint-Salvi-de-Carcavès,66,1.260981968,0.528688501
"3040 Bressolles, France",3040,6.666666667,COM,Bressolles,828.3763251,12.60798005,0.528765642
"62576 Moncheaux-lès-Frévent, France",62576,0.833333333,COM,Moncheaux-lès-Frévent,74.05035971,1.575771641,0.528841433
"17389 Sainte-Radegonde, France",17389,3.333333333,COM,Sainte-Radegonde,444,6.300778751,0.529035134
"21215 Cuiserey, France",21215,0.5,COM,Cuiserey,110.5865922,0.944973322,0.529115466
"83040 Châteauvieux, France",83040,0.666666667,COM,Châteauvieux,61.51898734,1.259810488,0.529180121
"54055 Bayonville-sur-Mad, France",54055,1.666666667,COM,Bayonville-sur-Mad,207.3333333,3.149294546,0.52921905
"31076 Bordes-de-Rivière, France",31076,2.5,COM,Bordes-de-Rivière,334.2038217,4.723659478,0.529250682
"21592 Savigny-sous-Mâlain, France",21592,0.833333333,COM,Savigny-sous-Mâlain,154.8701299,1.574499288,0.52926879
"2B093 Corbara, France",2B093,6.166666667,COM,Corbara,686.6720839,11.64892307,0.529376547
"65387 Saint-Lanne, France",65387,1,COM,Saint-Lanne,136.1967213,1.888891431,0.529411052
