"IRIS";"P15_POP";"fdep15"
"021720000";248;0,697699671999045
"021730101";4445;3,30746404463198
"021730201";4524;1,93140560490639
"021730301";2862;0,118202881815678
"021740000";815;1,08182128138287
"021750000";134;1,12939592735961
"021760000";204;1,34574175607674
"021770000";140;-0,401554844200448
"021780000";110;0,387067420000766
"021790000";388;1,30801196504118
"021800000";702;0,84547871214255
"021810000";90;3,67870388537159
"021820000";135;1,02543542409324
"021830000";192;-0,63796599931421
"021840000";364;1,75664750735566
"021850000";408;-0,485630435809641
"021860000";1335;0,546974283032091
"021870000";1081;-1,02323534342141
"021880000";147;2,34339300696779
"021890000";374;2,64094727056733
"021900000";553;0,949286341895226
"021910000";507;0,346431620087721
"021920000";375;0,789960918323332
"021930000";70;0,682605639501601
"021940000";210;1,42038722829384
"021950000";918;0,0166406285147126
"021960000";322;0,100155766425891
"021970000";564;0,293717803926671
"021980000";224;0,167928848890987
"021990000";646;1,01419127477974
"022000000";126;2,27797142175661
"022010000";448;1,15294201377244
"022030000";1341;1,18563892328574
"022040000";68;-0,437891522957165
"022050000";233;0,469407811322871
"022060000";81;2,74570321739977
"022070000";209;0,412067013257992
"022080000";283;0,277950393462945
"022090000";667;1,07800042439105
"022100000";368;2,26440239217807
"022110000";258;0,510991278641925
"022120000";715;0,85496976605505
"022130000";324;1,36199597495377
"022140000";62;0,927038928173788
"022150000";734;0,328181162075542
"022160000";313;-0,145386257162676
"022170000";1036;1,03883621762347
"022180000";621;0,942518172049902
"022190000";214;0,632974628073114
"022200000";436;-0,436954807920831
"022210000";159;-0,242422838451992
"022220000";31;1,34116861559664
"022230000";300;0,5999416098106
"022240000";361;2,56068147183314
"022250000";92;0,259978872496699
"022260000";1799;0,936624934951781
"022270000";137;1,34317372903572
"022280000";311;0,345292957896321
"022290000";66;1,4313747172745
"022300000";188;0,452702798496131
"022310000";919;1,21535540213315
"022320000";349;1,79498763798492
"022330000";134;3,21674528856316
"022340000";80;0,468417933488813
"022350000";116;1,17228206410839
"022360000";345;1,77369396687994
"022370000";1494;2,29544590993754
"022380000";1901;0,891344003915778
"022390000";1221;0,672528843017811
"022400000";249;1,67988113768709
"022410000";108;1,61993772548435
"022420000";641;0,607551097958287
"022430000";2879;1,20255319181465
"022440000";70;2,74388622563117
"022450000";1803;1,05770528725943
"022460000";595;0,862787678693714
"022480000";159;0,998840959338777
"022490000";107;1,28886530124748
"022500000";73;-0,460081183054782
"022510000";28;0,814657142403899
"022520000";67;-0,0863007980549933
"022530000";349;0,0351134770392552
